FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
A,Annual,ABW,Aruba,IMF_FM_GGR_G01_GDP_PT,Revenue (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,25.1141700404858,22.8869002034877,21.6875338086515,22.8839525658196,22.2505012065079,21.6729932735492,21.4911301364012,27.0318068522203,20.7136147419804,21.5199237954177,22.2854680630304,21.5739424841925,26.8253476606667,24.2566511422377,26.9566727256458,20.7703555109018,21.8062672938247,23.4064074451586,22.3755965474563,23.897979072344,23.6640738014649,21.9712946991824,22.2217307108863,23.445260528619,24.0065453096917,19.6980272334102,21.2137337780662,23.5358011564746,23.1920124847496,23.1920124847497,23.1920124847496,23.1920124847496,23.1920124847496,23.1920124847497
A,Annual,ABW,Aruba,IMF_FM_GGXCNL_G01_GDP_PT,Net lending/borrowing (also referred as overall balance) (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,-2.34348987854251,-2.10213042178121,0.113932756925782,0.0855949296487138,0.644936006775052,-0.835328183280908,-3.16873183928012,1.89611671075934,-8.53089795787914,-2.95701645128303,-2.54146039153469,-1.04585806569527,1.46595218641568,-2.63113359686215,-3.48673770377958,-6.42893375998143,-8.95492481345153,-6.04769631512409,-7.45853218248542,-1.47528446693984,-1.45497809559671,-2.58702074339782,-2.64102553368904,-0.242567842947578,-16.230215757667,-9.16081547235982,-0.465033820126072,1.55524165365346,1.1558940755392,1.31237911309618,1.2888672169973,1.35144682705129,1.39344941150291,1.43498784712233
A,Annual,ABW,Aruba,IMF_FM_GGXONLB_G01_GDP_PT,Primary net lending/borrowing (also referred as primary balance) (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,-1.09976518218623,-0.850571443158363,1.44698426118845,1.53834331557392,1.88484201486217,0.553913383910839,-1.75716479198109,3.14319238253493,-6.40372072672279,-0.958688155709018,-0.338638303508032,1.18492807603123,4.21023612825589,-0.0839946929641305,-0.597495214300562,-3.51823523201479,-5.73781680556555,-2.67876287849046,-3.70324330048256,2.30117305138166,2.62529504052553,1.43836242342083,1.13173773738696,3.53670444189995,-11.1123364100421,-4.79088517518829,3.40100818025631,5.28015893544207,5.65180036697728,5.24153929440534,5.03841535423472,4.92074775074098,4.79128474990847,4.66700457590843
A,Annual,ABW,Aruba,IMF_FM_G_XWDG_G01_GDP_PT,Gross debt (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,54.770812145749,51.0684242099352,41.0385796150349,39.2881462832016,38.6133161670861,44.3256132458704,47.0786502831164,40.8481105040777,42.543007003957,45.0930808742938,45.5183809004002,44.5578565939773,40.3098213170691,48.7848140874633,54.6623470890648,59.3467108289836,65.5330555230973,70.0319109388159,77.7091470408414,74.1768464721348,75.3874201335142,75.8250616633017,73.3096386657049,71.0525069027125,112.33876485025,101.815727362053,90.1113324202655,79.775500778318,76.2119720584799,73.0598701647462,69.7989295223019,66.5104355930485,63.2741477762749,60.0891106892728
A,Annual,ABW,Aruba,IMF_FM_G_X_G01_GDP_PT,Expenditure (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,27.4576599190283,24.9890306252689,21.5736010517257,22.7983576361708,21.6055651997328,22.5083214568301,24.6598619756813,25.135690141461,29.2445126998595,24.4769402467007,24.8269284545651,22.6198005498878,25.359395474251,26.8877847390999,30.4434104294254,27.1992892708833,30.7611921072762,29.4541037602827,29.8341287299417,25.3732635392839,25.1190518970616,24.5583154425803,24.8627562445753,23.6878283715666,40.2367610673587,28.8588427057701,21.6787675981923,21.9805595028212,22.0361184092104,21.8796333716535,21.9031452677524,21.8405656576983,21.7985630732467,21.7570246376274
A,Annual,AFG,Afghanistan,IMF_FM_GGR_G01_GDP_PT,Revenue (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,9.82582910063867,12.6758750404315,14.7334769052451,18.9459116570191,18.9857911257064,17.035778943281,19.390544374803,21.7224884173169,21.2648238802967,25.2102616617893,24.3460298979079,23.6836524764622,24.5690414796792,28.1562331014637,27.0587245639144,30.5698305547137,26.9409385150874,25.6942215121026,17.4489456406766,15.1182480874305,,,,,,,
A,Annual,AFG,Afghanistan,IMF_FM_GGXCNL_G01_GDP_PT,Net lending/borrowing (also referred as overall balance) (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,-2.1016692363811,-2.39283825475121,-0.917107414635356,0.683695765173601,-2.46171938840271,-3.86359379179839,-1.76059209020972,0.933343625495384,-0.671821697524398,0.182057052453263,-0.630945569561262,-1.7187968084429,-1.37770032868547,0.127257984493361,-0.673105906142615,1.63419574024946,-1.05808111785046,-2.24279939297291,-0.484939136011784,-0.997336433360447,,,,,,,
A,Annual,AFG,Afghanistan,IMF_FM_GGXONLB_G01_GDP_PT,Primary net lending/borrowing (also referred as primary balance) (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,0.724090820002071,-2.43123860648768,-3.84521365342562,-1.74208610534858,0.944992239162766,-0.573310752859865,0.257318292302802,-0.543948390009184,-1.68504291386892,-1.32649226187448,0.19218505151316,-0.604199148480681,1.69359679907635,-1.0187428657267,-2.20583028624531,-0.462453126265714,-0.98891206841057,,,,,,,
A,Annual,AFG,Afghanistan,IMF_FM_G_XWDG_G01_GDP_PT,Gross debt (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,270.602363673401,244.966690678258,206.35600651512,22.9846435003684,20.1366313601769,19.0570757247464,16.2472613663401,7.69694931974591,7.50108437056946,6.75946787908546,6.90447917074535,8.70029104968389,9.15408285664643,8.43726609723789,7.99766019916526,7.38441294233321,6.34983002353106,7.79723451215246,11.5133998384943,10.9247660692807,,,,,,,
A,Annual,AFG,Afghanistan,IMF_FM_G_X_G01_GDP_PT,Expenditure (% of GDP),PT_GDP,Percentage of GDP,IMF_FM,Fiscal Monitor (FM),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,11.9274983370198,15.0687132951827,15.6505843198805,18.2622158918455,21.4475105141091,20.8993727350794,21.1511364650127,20.7891447918216,21.9366455778211,25.028204609336,24.9769754674692,25.4024492849051,25.9467418083646,28.0289751169703,27.731830470057,28.9356348144642,27.9990196329378,27.9370209050755,17.9338847766884,16.115584520791,,,,,,,
